match_teams,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,0.9,1.7,2.0,1.0,2019-12-08,David Coote,St. James' Park,Sun,14:00,"42,303",172,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,0.9,1.7,2.0,1.0,172.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,0.6,2.8,0.0,1.0,2020-03-07,Graham Scott,St. Mary's Stadium,Sat,15:00,"30,096",310,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,0.6,2.8,0.0,1.0,310.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,0.7,0.3,2.0,0.0,2020-11-06,Peter Bankes,St. Mary's Stadium,Fri,20:00,0,76,Southampton,Newcastle Utd,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,0.7,0.3,2.0,0.0,76.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,0.7,1.3,3.0,2.0,2021-02-06,Craig Pawson,St. James' Park,Sat,15:00,0,247,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,0.7,1.3,3.0,2.0,247.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,1.0,3.6,2.0,2.0,2021-08-28,Paul Tierney,St. James' Park,Sat,15:00,"44,017",26,draw,draw,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,1.0,3.6,2.0,2.0,26.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,1.1,0.6,1.0,2.0,2022-03-10,Kevin Friend,St. Mary's Stadium,Thu,19:30,"30,056",307,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,1.1,0.6,1.0,2.0,307.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,1.7,0.9,1.0,4.0,2022-11-06,Stuart Attwell,St. Mary's Stadium,Sun,14:00,"30,402",146,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,1.7,0.9,1.0,4.0,146.0
Newcastle_Utd_Southampton,Shane Long,IRL,32,90.0,0,0,0,0,3,0,0,0,46.0,0.0,0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0,1,0,1,0.0,0.0,0,3.0,14.0,7.0,66.7,False,2019-2020,FW,None,None,None,1.0,Newcastle_Utd_Southampton_2019,4.3,0.8,3.0,1.0,2023-04-30,Anthony Taylor,St James' Park,Sun,14:00,"52,234",372,Newcastle Utd,Southampton,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,0.4,0.4,0.5,5.0,0.0,15.0,34.0,44.1,1.0,15.0,2.0,1.0,1.0,167.0,60.0,13.0,20.0,65.0,2.0,8.0,25.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,18.0,25.0,6.0,46.0,100.0,0.0,0.0,135.0,39.0,1.0,2.0,3.0,1.0,34.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,14.0,7.0,66.7,1.0,4.3,0.8,3.0,1.0,372.0
Newcastle_Utd_Southampton,Nathan Redmond,ENG,25,90.0,0,0,0,0,3,2,0,0,56.0,5.0,0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,False,2019-2020,LM,RM,None,None,1.0,Newcastle_Utd_Southampton_2019,1.5,1.2,2.0,2.0,2017-10-15,Kevin Friend,St. Mary's Stadium,Sun,16:00,"31,437",85,draw,draw,25.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,5.0,0.0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.5,1.2,2.0,2.0,85.0
Newcastle_Utd_Southampton,Nathan Redmond,ENG,25,90.0,0,0,0,0,3,2,0,0,56.0,5.0,0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,False,2019-2020,LM,RM,None,None,1.0,Newcastle_Utd_Southampton_2019,1.3,0.3,3.0,0.0,2018-03-10,Andre Marriner,St. James' Park,Sat,15:00,"52,246",322,Newcastle Utd,Southampton,25.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,5.0,0.0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.3,0.3,3.0,0.0,322.0
Newcastle_Utd_Southampton,Nathan Redmond,ENG,25,90.0,0,0,0,0,3,2,0,0,56.0,5.0,0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,False,2019-2020,LM,RM,None,None,1.0,Newcastle_Utd_Southampton_2019,1.1,0.4,0.0,0.0,2018-10-27,Chris Kavanagh,St. Mary's Stadium,Sat,15:00,"30,736",100,draw,draw,25.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,5.0,0.0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.1,0.4,0.0,0.0,100.0
Newcastle_Utd_Southampton,Nathan Redmond,ENG,25,90.0,0,0,0,0,3,2,0,0,56.0,5.0,0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,False,2019-2020,LM,RM,None,None,1.0,Newcastle_Utd_Southampton_2019,1.4,1.2,3.0,1.0,2019-04-20,Anthony Taylor,St. James' Park,Sat,17:30,"52,191",380,Newcastle Utd,Southampton,25.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,5.0,0.0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.4,1.2,3.0,1.0,380.0
Newcastle_Utd_Southampton,Nathan Redmond,ENG,25,90.0,0,0,0,0,3,2,0,0,56.0,5.0,0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0,0,1,0,0.0,0.0,0,11.0,0.0,0.0,0.0,False,2019-2020,LM,RM,None,None,1.0,Newcastle_Utd_Southampton_2019,0.9,1.7,2.0,1.0,2019-12-08,David Coote,St. James' Park,Sun,14:00,"42,303",172,Newcastle Utd,Southampton,25.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,5.0,0.0,6.0,0.3,0.3,0.0,4.0,0.0,28.0,38.0,73.7,4.0,26.0,4.0,4.0,3.0,391.0,125.0,17.0,19.0,89.5,9.0,11.0,81.8,1.0,6.0,16.7,0.1,0.0,3.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,5.0,8.0,62.5,3.0,1.0,5.0,5.0,0.0,0.0,3.0,11.0,24.0,23.0,5.0,56.0,75.0,1.0,25.0,258.0,132.0,2.0,1.0,4.0,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.9,1.7,2.0,1.0,172.0
