matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
1d504f2f-ef04-5598-823f-c9eb4a5bece9,James Tarkowski,ENG,27,90.0,0,0,0,0,2,0,0,0,59.0,3.0,6,0.0,0.1,0.1,0.0,2.0,0.0,34.0,49.0,69.4,3.0,29.0,0.0,0.0,0.0,762.0,299.0,8.0,10.0,80.0,18.0,25.0,72.0,7.0,13.0,53.8,0.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,9.0,1.0,1.0,4.0,17.0,39.0,3.0,2.0,59.0,0.0,0.0,0.0,116.0,73.0,1.0,0.0,0.0,1.0,31.0,0.0,0,2,0,0,0.0,0.0,0,8.0,5.0,0.0,100.0,True,2019-2020,CB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.0,0.0,0.0,0.0,0,Mike Dean,0,0,0,0,8641,draw,draw,9e9c0ed0-35e8-5aec-9c47-c0a0c9c8edbe,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,3.0,6.0,0.0,0.1,0.1,0.0,2.0,0.0,34.0,49.0,69.4,3.0,29.0,0.0,0.0,0.0,762.0,299.0,8.0,10.0,80.0,18.0,25.0,72.0,7.0,13.0,53.8,0.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,9.0,1.0,1.0,4.0,17.0,39.0,3.0,2.0,59.0,0.0,0.0,0.0,116.0,73.0,1.0,0.0,0.0,1.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8641.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,James Tarkowski,ENG,27,90.0,0,0,0,0,2,0,0,0,59.0,3.0,6,0.0,0.1,0.1,0.0,2.0,0.0,34.0,49.0,69.4,3.0,29.0,0.0,0.0,0.0,762.0,299.0,8.0,10.0,80.0,18.0,25.0,72.0,7.0,13.0,53.8,0.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,9.0,1.0,1.0,4.0,17.0,39.0,3.0,2.0,59.0,0.0,0.0,0.0,116.0,73.0,1.0,0.0,0.0,1.0,31.0,0.0,0,2,0,0,0.0,0.0,0,8.0,5.0,0.0,100.0,True,2019-2020,CB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.0,0.0,2.0,3.0,0,Philip Dowd,0,0,0,0,8817,Crystal Palace,Burnley,9f2acb6b-b662-5091-bb8e-998b04470172,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,3.0,6.0,0.0,0.1,0.1,0.0,2.0,0.0,34.0,49.0,69.4,3.0,29.0,0.0,0.0,0.0,762.0,299.0,8.0,10.0,80.0,18.0,25.0,72.0,7.0,13.0,53.8,0.0,0.0,3.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,9.0,1.0,1.0,4.0,17.0,39.0,3.0,2.0,59.0,0.0,0.0,0.0,116.0,73.0,1.0,0.0,0.0,1.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,100.0,1.0,0.0,0.0,2.0,3.0,8817.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.3,2.0,1.0,0.0,2017-09-10,Michael Oliver,Turf Moor,Sun,13:30,"18,862",40,Burnley,Crystal Palace,48b1cd8e-71e6-5b0d-8aa1-15a3c1e08602,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.3,2.0,1.0,0.0,40.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.4,0.7,1.0,0.0,2018-01-13,Michael Oliver,Selhurst Park,Sat,15:00,"24,696",244,Crystal Palace,Burnley,55cd2506-627c-5bb2-8b44-b0eb423e8a74,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.4,0.7,1.0,0.0,244.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.6,0.7,2.0,0.0,2018-12-01,Lee Probert,Selhurst Park,Sat,15:00,"25,098",145,Crystal Palace,Burnley,8af729c5-087d-576d-9eeb-4735bbe6a279,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.6,0.7,2.0,0.0,145.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,2.1,0.5,1.0,3.0,2019-03-02,Lee Probert,Turf Moor,Sat,15:00,"19,223",313,Crystal Palace,Burnley,0b6e2e59-b8bb-54d4-a66a-d3392646cfc0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,2.1,0.5,1.0,3.0,313.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.9,0.7,0.0,2.0,2019-11-30,Peter Bankes,Turf Moor,Sat,15:00,"19,818",146,Crystal Palace,Burnley,a67cf3ed-ac3f-569e-ac03-e6793ca47894,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.9,0.7,0.0,2.0,146.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.9,0.4,0.0,1.0,2020-06-29,Simon Hooper,Selhurst Park,Mon,20:00,0,345,Burnley,Crystal Palace,8511896b-8f59-54d8-a89d-2756b6243935,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.9,0.4,0.0,1.0,345.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.5,1.5,1.0,0.0,2020-11-23,Kevin Friend,Turf Moor,Mon,17:30,0,94,Burnley,Crystal Palace,12790381-22ad-51d8-b144-cf3b9409abcb,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.5,1.5,1.0,0.0,94.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.5,1.4,0.0,3.0,2021-02-13,Michael Oliver,Selhurst Park,Sat,15:00,0,257,Burnley,Crystal Palace,10f035b1-cc7f-5ba7-8afc-425199e3154f,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.5,1.4,0.0,3.0,257.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.5,1.9,3.0,3.0,2021-11-20,Simon Hooper,Turf Moor,Sat,15:00,"18,028",127,draw,draw,07357321-bf31-513d-9438-c29d0ab58db1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.5,1.9,3.0,3.0,127.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,1.0,0.2,1.0,1.0,2022-02-26,Jonathan Moss,Selhurst Park,Sat,15:00,"24,203",285,draw,draw,ff187c88-9764-5a5c-9831-76104a107d97,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.0,0.2,1.0,1.0,285.0
1d504f2f-ef04-5598-823f-c9eb4a5bece9,Phil Bardsley,SCO,34,90.0,0,0,0,0,0,0,1,0,53.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0,1,0,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,2019-2020,RB,None,None,None,1.0,Burnley_Crystal Palace,Burnley_Crystal Palace_2019,0.0,0.0,0.0,0.0,0,Mike Dean,0,0,0,0,8641,draw,draw,9e9c0ed0-35e8-5aec-9c47-c0a0c9c8edbe,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,2.0,17.0,0.0,2.0,2.0,382.0,175.0,11.0,13.0,84.6,9.0,12.0,75.0,2.0,9.0,22.2,0.1,0.0,3.0,1.0,0.0,35.0,8.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,4.0,5.0,80.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,12.0,29.0,12.0,2.0,53.0,100.0,0.0,0.0,53.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,8641.0
