matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.9,0.8,4.0,1.0,2020-11-07,Chris Kavanagh,Selhurst Park,Sat,15:00,0,78,Crystal Palace,Leeds United,c4338e00-4e09-5dae-a59e-e372da2c25d2,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.9,0.8,4.0,1.0,78.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,1.9,0.4,2.0,0.0,2021-02-08,Andre Marriner,Elland Road,Mon,20:00,0,254,Leeds United,Crystal Palace,a8db0ed3-58a3-5f7f-a9a2-a8acc31377b8,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,1.9,0.4,2.0,0.0,254.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,1.4,1.1,1.0,0.0,2021-11-30,Kevin Friend,Elland Road,Tue,20:15,"35,558",143,Leeds United,Crystal Palace,6db48764-bcab-539e-bd4d-f000fc0c684e,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,1.4,1.1,1.0,0.0,143.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,1.9,0.5,0.0,0.0,2022-04-25,Darren England,Selhurst Park,Mon,20:00,"25,357",385,draw,draw,82cb8a69-72cf-5440-bce3-2d9a6b469a1c,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,1.9,0.5,0.0,0.0,385.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,1.1,1.0,2.0,1.0,2022-10-09,Paul Tierney,Selhurst Park,Sun,14:00,"25,042",91,Crystal Palace,Leeds United,78976b4f-9f2b-5b58-b322-db01488caaa6,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,1.1,1.0,2.0,1.0,91.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.9,3.0,1.0,5.0,2023-04-09,Simon Hooper,Elland Road,Sun,14:00,"36,427",333,Crystal Palace,Leeds United,36f0ca0a-ea97-5382-9c17-9595704a29ef,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.9,3.0,1.0,5.0,333.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,1.0,0.0,0,Alan Gunn,0,0,0,0,217,Crystal Palace,Leeds United,ae4bc343-b154-5646-9da7-cbd5150d9b0a,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,1.0,0.0,217.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,0.0,0.0,0,Robbie Hart,0,0,0,0,418,draw,draw,e9d4400c-dcae-5a7c-8491-f8def66e53cd,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,0.0,0.0,418.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,1.0,2.0,0,Dermot Gallagher,0,0,0,0,959,Leeds United,Crystal Palace,498022c3-31e1-54af-851c-cd4f3aa94ca7,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,1.0,2.0,959.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,3.0,1.0,0,Joe Worrall,0,0,0,0,1370,Leeds United,Crystal Palace,32a359a4-592e-5cc8-aefd-885731c5f221,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,3.0,1.0,1370.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,0.0,2.0,0,Uriah Rennie,0,0,0,0,2170,Crystal Palace,Leeds United,3b69587e-be8b-5a06-b2e6-bffb5a088f63,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,0.0,2.0,2170.0
039480fd-d0fb-5893-ae56-0342e555152d,Liam Cooper,SCO,30,90.0,0,0,0,0,1,0,0,0,95.0,2.0,1,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0,1,0,0,0.0,0.0,0,6.0,5.0,1.0,83.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.0,0.0,0.0,2.0,0,Uriah Rennie,0,0,0,0,2382,Leeds United,Crystal Palace,7b398456-9cac-5415-8af3-669b9d178446,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,71.0,81.0,87.7,7.0,56.0,2.0,0.0,0.0,1373.0,546.0,17.0,19.0,89.5,52.0,56.0,92.9,2.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,3.0,6.0,0.0,9.0,53.0,41.0,1.0,1.0,95.0,0.0,0.0,0.0,321.0,242.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3,1.0,0.0,0.0,0.0,2.0,2382.0
039480fd-d0fb-5893-ae56-0342e555152d,Diego Llorente,ESP,28,90.0,0,0,0,0,0,0,0,0,79.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,51.0,65.0,78.5,3.0,51.0,3.0,0.0,0.0,1041.0,290.0,11.0,14.0,78.6,36.0,42.0,85.7,4.0,9.0,44.4,0.0,0.0,2.0,0.0,0.0,63.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,10.0,42.0,36.0,1.0,0.0,79.0,0.0,0.0,0.0,421.0,345.0,0.0,0.0,1.0,0.0,50.0,0.0,0,0,3,0,0.0,0.0,0,6.0,1.0,2.0,33.3,True,2021-2022,CB,None,None,None,1.0,Crystal Palace_Leeds United,Crystal Palace_Leeds United_2021,0.9,0.8,4.0,1.0,2020-11-07,Chris Kavanagh,Selhurst Park,Sat,15:00,0,78,Crystal Palace,Leeds United,c4338e00-4e09-5dae-a59e-e372da2c25d2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,65.0,78.5,3.0,51.0,3.0,0.0,0.0,1041.0,290.0,11.0,14.0,78.6,36.0,42.0,85.7,4.0,9.0,44.4,0.0,0.0,2.0,0.0,0.0,63.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,10.0,42.0,36.0,1.0,0.0,79.0,0.0,0.0,0.0,421.0,345.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,1.0,0.9,0.8,4.0,1.0,78.0
